Latitude: 39.20783870, Longitude: 117.22758572, Heading: -14.56000000, Status: 2
Latitude: 39.20783911, Longitude: 117.22758558, Heading: -14.54000000, Status: 2
Latitude: 39.20783950, Longitude: 117.22758545, Heading: -14.56000000, Status: 2
Latitude: 39.20783986, Longitude: 117.22758533, Heading: -14.55000000, Status: 2
Latitude: 39.20784020, Longitude: 117.22758521, Heading: -14.54000000, Status: 2
Latitude: 39.20784053, Longitude: 117.22758510, Heading: -14.55000000, Status: 2
Latitude: 39.20784086, Longitude: 117.22758507, Heading: -14.55000000, Status: 2
Latitude: 39.20784115, Longitude: 117.22758496, Heading: -14.55000000, Status: 2
Latitude: 39.20784145, Longitude: 117.22758484, Heading: -14.55000000, Status: 2
Latitude: 39.20784175, Longitude: 117.22758472, Heading: -14.54000000, Status: 2
Latitude: 39.20784207, Longitude: 117.22758460, Heading: -14.55000000, Status: 2
Latitude: 39.20784241, Longitude: 117.22758447, Heading: -14.54000000, Status: 2
Latitude: 39.20784277, Longitude: 117.22758434, Heading: -14.55000000, Status: 2
Latitude: 39.20784317, Longitude: 117.22758419, Heading: -14.54000000, Status: 2
Latitude: 39.20784359, Longitude: 117.22758403, Heading: -14.54000000, Status: 2
Latitude: 39.20784405, Longitude: 117.22758386, Heading: -14.54000000, Status: 2
Latitude: 39.20784457, Longitude: 117.22758376, Heading: -14.54000000, Status: 2
Latitude: 39.20784510, Longitude: 117.22758356, Heading: -14.55000000, Status: 2
Latitude: 39.20784566, Longitude: 117.22758335, Heading: -14.56000000, Status: 2
Latitude: 39.20784624, Longitude: 117.22758313, Heading: -14.56000000, Status: 2
Latitude: 39.20784683, Longitude: 117.22758291, Heading: -14.55000000, Status: 2
Latitude: 39.20784743, Longitude: 117.22758268, Heading: -14.56000000, Status: 2
Latitude: 39.20784805, Longitude: 117.22758245, Heading: -14.57000000, Status: 2
Latitude: 39.20784869, Longitude: 117.22758222, Heading: -14.57000000, Status: 2
Latitude: 39.20784933, Longitude: 117.22758199, Heading: -14.58000000, Status: 2
Latitude: 39.20784997, Longitude: 117.22758175, Heading: -14.57000000, Status: 2
Latitude: 39.20785065, Longitude: 117.22758154, Heading: -14.58000000, Status: 2
Latitude: 39.20785132, Longitude: 117.22758130, Heading: -14.58000000, Status: 2
Latitude: 39.20785197, Longitude: 117.22758106, Heading: -14.57000000, Status: 2
Latitude: 39.20785261, Longitude: 117.22758083, Heading: -14.58000000, Status: 2
Latitude: 39.20785327, Longitude: 117.22758059, Heading: -14.58000000, Status: 2
Latitude: 39.20785392, Longitude: 117.22758035, Heading: -14.57000000, Status: 2
Latitude: 39.20785457, Longitude: 117.22758012, Heading: -14.60000000, Status: 2
Latitude: 39.20785522, Longitude: 117.22757989, Heading: -14.59000000, Status: 2
Latitude: 39.20785586, Longitude: 117.22757964, Heading: -14.58000000, Status: 2
Latitude: 39.20785651, Longitude: 117.22757941, Heading: -14.60000000, Status: 2
Latitude: 39.20785716, Longitude: 117.22757916, Heading: -14.58000000, Status: 2
Latitude: 39.20785780, Longitude: 117.22757894, Heading: -14.59000000, Status: 2
Latitude: 39.20785845, Longitude: 117.22757871, Heading: -14.60000000, Status: 2
Latitude: 39.20785909, Longitude: 117.22757848, Heading: -14.59000000, Status: 2
Latitude: 39.20785974, Longitude: 117.22757825, Heading: -14.61000000, Status: 2
Latitude: 39.20786040, Longitude: 117.22757802, Heading: -14.61000000, Status: 2
Latitude: 39.20786105, Longitude: 117.22757780, Heading: -14.60000000, Status: 2
Latitude: 39.20786171, Longitude: 117.22757757, Heading: -14.61000000, Status: 2
Latitude: 39.20786236, Longitude: 117.22757734, Heading: -14.61000000, Status: 2
Latitude: 39.20786302, Longitude: 117.22757712, Heading: -14.61000000, Status: 2
Latitude: 39.20786368, Longitude: 117.22757686, Heading: -14.60000000, Status: 2
Latitude: 39.20786435, Longitude: 117.22757663, Heading: -14.60000000, Status: 2
Latitude: 39.20786501, Longitude: 117.22757640, Heading: -14.58000000, Status: 2
Latitude: 39.20786568, Longitude: 117.22757618, Heading: -14.59000000, Status: 2
Latitude: 39.20786633, Longitude: 117.22757596, Heading: -14.59000000, Status: 2
Latitude: 39.20786699, Longitude: 117.22757574, Heading: -14.58000000, Status: 2
Latitude: 39.20786765, Longitude: 117.22757551, Heading: -14.60000000, Status: 2
Latitude: 39.20786829, Longitude: 117.22757529, Heading: -14.58000000, Status: 2
Latitude: 39.20786894, Longitude: 117.22757509, Heading: -14.59000000, Status: 2
Latitude: 39.20786958, Longitude: 117.22757488, Heading: -14.61000000, Status: 2
Latitude: 39.20787020, Longitude: 117.22757463, Heading: -14.57000000, Status: 2
Latitude: 39.20787084, Longitude: 117.22757442, Heading: -14.57000000, Status: 2
Latitude: 39.20787146, Longitude: 117.22757423, Heading: -14.58000000, Status: 2
Latitude: 39.20787209, Longitude: 117.22757403, Heading: -14.57000000, Status: 2
Latitude: 39.20787271, Longitude: 117.22757382, Heading: -14.57000000, Status: 2
Latitude: 39.20787334, Longitude: 117.22757361, Heading: -14.55000000, Status: 2
Latitude: 39.20787397, Longitude: 117.22757341, Heading: -14.55000000, Status: 2
Latitude: 39.20787459, Longitude: 117.22757320, Heading: -14.55000000, Status: 2
Latitude: 39.20787522, Longitude: 117.22757299, Heading: -14.54000000, Status: 2
Latitude: 39.20787585, Longitude: 117.22757279, Heading: -14.53000000, Status: 2
Latitude: 39.20787651, Longitude: 117.22757257, Heading: -14.54000000, Status: 2
Latitude: 39.20787716, Longitude: 117.22757236, Heading: -14.53000000, Status: 2
Latitude: 39.20787780, Longitude: 117.22757215, Heading: -14.53000000, Status: 2
Latitude: 39.20787844, Longitude: 117.22757194, Heading: -14.53000000, Status: 2
Latitude: 39.20787909, Longitude: 117.22757176, Heading: -14.55000000, Status: 2
Latitude: 39.20787972, Longitude: 117.22757155, Heading: -14.54000000, Status: 2
Latitude: 39.20788037, Longitude: 117.22757135, Heading: -14.53000000, Status: 2
Latitude: 39.20788102, Longitude: 117.22757115, Heading: -14.54000000, Status: 2
Latitude: 39.20788167, Longitude: 117.22757095, Heading: -14.53000000, Status: 2
Latitude: 39.20788232, Longitude: 117.22757075, Heading: -14.53000000, Status: 2
Latitude: 39.20788298, Longitude: 117.22757050, Heading: -14.54000000, Status: 2
Latitude: 39.20788364, Longitude: 117.22757030, Heading: -14.52000000, Status: 2
Latitude: 39.20788431, Longitude: 117.22757009, Heading: -14.51000000, Status: 2
Latitude: 39.20788496, Longitude: 117.22756988, Heading: -14.52000000, Status: 2
Latitude: 39.20788560, Longitude: 117.22756968, Heading: -14.51000000, Status: 2
Latitude: 39.20788623, Longitude: 117.22756949, Heading: -14.51000000, Status: 2
Latitude: 39.20788687, Longitude: 117.22756929, Heading: -14.51000000, Status: 2
Latitude: 39.20788750, Longitude: 117.22756909, Heading: -14.52000000, Status: 2
Latitude: 39.20788813, Longitude: 117.22756890, Heading: -14.52000000, Status: 2
Latitude: 39.20788875, Longitude: 117.22756872, Heading: -14.52000000, Status: 2
Latitude: 39.20788940, Longitude: 117.22756853, Heading: -14.52000000, Status: 2
Latitude: 39.20789004, Longitude: 117.22756834, Heading: -14.50000000, Status: 2
Latitude: 39.20789069, Longitude: 117.22756816, Heading: -14.51000000, Status: 2
Latitude: 39.20789135, Longitude: 117.22756797, Heading: -14.51000000, Status: 2
Latitude: 39.20789202, Longitude: 117.22756776, Heading: -14.49000000, Status: 2
Latitude: 39.20789268, Longitude: 117.22756757, Heading: -14.51000000, Status: 2
Latitude: 39.20789335, Longitude: 117.22756738, Heading: -14.50000000, Status: 2
Latitude: 39.20789402, Longitude: 117.22756719, Heading: -14.51000000, Status: 2
Latitude: 39.20789469, Longitude: 117.22756700, Heading: -14.52000000, Status: 2
Latitude: 39.20789536, Longitude: 117.22756680, Heading: -14.50000000, Status: 2
Latitude: 39.20789604, Longitude: 117.22756660, Heading: -14.51000000, Status: 2
Latitude: 39.20789670, Longitude: 117.22756641, Heading: -14.52000000, Status: 2
Latitude: 39.20789735, Longitude: 117.22756622, Heading: -14.52000000, Status: 2
Latitude: 39.20789799, Longitude: 117.22756602, Heading: -14.52000000, Status: 2
Latitude: 39.20789863, Longitude: 117.22756584, Heading: -14.53000000, Status: 2
Latitude: 39.20789927, Longitude: 117.22756566, Heading: -14.53000000, Status: 2
Latitude: 39.20789989, Longitude: 117.22756547, Heading: -14.54000000, Status: 2
Latitude: 39.20790051, Longitude: 117.22756528, Heading: -14.54000000, Status: 2
Latitude: 39.20790113, Longitude: 117.22756510, Heading: -14.55000000, Status: 2
Latitude: 39.20790175, Longitude: 117.22756493, Heading: -14.56000000, Status: 2
Latitude: 39.20790239, Longitude: 117.22756469, Heading: -14.56000000, Status: 2
Latitude: 39.20790302, Longitude: 117.22756448, Heading: -14.57000000, Status: 2
Latitude: 39.20790366, Longitude: 117.22756426, Heading: -14.56000000, Status: 2
Latitude: 39.20790430, Longitude: 117.22756405, Heading: -14.57000000, Status: 2
Latitude: 39.20790493, Longitude: 117.22756384, Heading: -14.57000000, Status: 2
Latitude: 39.20790556, Longitude: 117.22756363, Heading: -14.58000000, Status: 2
Latitude: 39.20790620, Longitude: 117.22756341, Heading: -14.58000000, Status: 2
Latitude: 39.20790683, Longitude: 117.22756320, Heading: -14.58000000, Status: 2
Latitude: 39.20790747, Longitude: 117.22756299, Heading: -14.59000000, Status: 2
Latitude: 39.20790811, Longitude: 117.22756277, Heading: -14.59000000, Status: 2
Latitude: 39.20790878, Longitude: 117.22756254, Heading: -14.59000000, Status: 2
Latitude: 39.20790945, Longitude: 117.22756233, Heading: -14.60000000, Status: 2
