Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.93000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.94000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.94000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.94000000, Status: 2
Latitude: 39.20928893, Longitude: 117.22551445, Heading: 74.94000000, Status: 2
Latitude: 39.20928897, Longitude: 117.22551460, Heading: 74.94000000, Status: 2
Latitude: 39.20928902, Longitude: 117.22551480, Heading: 74.93000000, Status: 2
Latitude: 39.20928907, Longitude: 117.22551506, Heading: 74.93000000, Status: 2
Latitude: 39.20928913, Longitude: 117.22551538, Heading: 74.94000000, Status: 2
Latitude: 39.20928920, Longitude: 117.22551576, Heading: 74.93000000, Status: 2
Latitude: 39.20928929, Longitude: 117.22551619, Heading: 74.94000000, Status: 2
Latitude: 39.20928938, Longitude: 117.22551667, Heading: 74.94000000, Status: 2
Latitude: 39.20928949, Longitude: 117.22551720, Heading: 74.93000000, Status: 2
Latitude: 39.20928960, Longitude: 117.22551778, Heading: 74.93000000, Status: 2
Latitude: 39.20928972, Longitude: 117.22551841, Heading: 74.93000000, Status: 2
Latitude: 39.20928985, Longitude: 117.22551907, Heading: 74.93000000, Status: 2
Latitude: 39.20929000, Longitude: 117.22551977, Heading: 74.93000000, Status: 2
Latitude: 39.20929015, Longitude: 117.22552050, Heading: 74.92000000, Status: 2
Latitude: 39.20929030, Longitude: 117.22552125, Heading: 74.92000000, Status: 2
Latitude: 39.20929045, Longitude: 117.22552202, Heading: 74.92000000, Status: 2
Latitude: 39.20929061, Longitude: 117.22552280, Heading: 74.92000000, Status: 2
Latitude: 39.20929077, Longitude: 117.22552360, Heading: 74.92000000, Status: 2
Latitude: 39.20929093, Longitude: 117.22552441, Heading: 74.92000000, Status: 2
Latitude: 39.20929110, Longitude: 117.22552522, Heading: 74.92000000, Status: 2
Latitude: 39.20929126, Longitude: 117.22552603, Heading: 74.92000000, Status: 2
Latitude: 39.20929143, Longitude: 117.22552685, Heading: 74.93000000, Status: 2
Latitude: 39.20929161, Longitude: 117.22552766, Heading: 74.93000000, Status: 2
Latitude: 39.20929178, Longitude: 117.22552848, Heading: 74.93000000, Status: 2
Latitude: 39.20929195, Longitude: 117.22552929, Heading: 74.93000000, Status: 2
Latitude: 39.20929212, Longitude: 117.22553010, Heading: 74.93000000, Status: 2
Latitude: 39.20929229, Longitude: 117.22553090, Heading: 74.93000000, Status: 2
Latitude: 39.20929246, Longitude: 117.22553169, Heading: 74.94000000, Status: 2
Latitude: 39.20929263, Longitude: 117.22553247, Heading: 74.93000000, Status: 2
Latitude: 39.20929279, Longitude: 117.22553323, Heading: 74.93000000, Status: 2
Latitude: 39.20929295, Longitude: 117.22553398, Heading: 74.94000000, Status: 2
Latitude: 39.20929311, Longitude: 117.22553472, Heading: 74.93000000, Status: 2
Latitude: 39.20929326, Longitude: 117.22553545, Heading: 74.92000000, Status: 2
Latitude: 39.20929341, Longitude: 117.22553616, Heading: 74.93000000, Status: 2
Latitude: 39.20929355, Longitude: 117.22553686, Heading: 74.92000000, Status: 2
Latitude: 39.20929369, Longitude: 117.22553754, Heading: 74.92000000, Status: 2
Latitude: 39.20929383, Longitude: 117.22553819, Heading: 74.92000000, Status: 2
Latitude: 39.20929397, Longitude: 117.22553881, Heading: 74.91000000, Status: 2
Latitude: 39.20929410, Longitude: 117.22553940, Heading: 74.91000000, Status: 2
Latitude: 39.20929422, Longitude: 117.22553996, Heading: 74.90000000, Status: 2
Latitude: 39.20929434, Longitude: 117.22554050, Heading: 74.90000000, Status: 2
Latitude: 39.20929446, Longitude: 117.22554101, Heading: 74.90000000, Status: 2
Latitude: 39.20929456, Longitude: 117.22554151, Heading: 74.89000000, Status: 2
Latitude: 39.20929466, Longitude: 117.22554197, Heading: 74.89000000, Status: 2
Latitude: 39.20929476, Longitude: 117.22554241, Heading: 74.89000000, Status: 2
Latitude: 39.20929486, Longitude: 117.22554283, Heading: 74.89000000, Status: 2
Latitude: 39.20929495, Longitude: 117.22554322, Heading: 74.89000000, Status: 2
Latitude: 39.20929503, Longitude: 117.22554358, Heading: 74.89000000, Status: 2
Latitude: 39.20929511, Longitude: 117.22554392, Heading: 74.88000000, Status: 2
Latitude: 39.20929519, Longitude: 117.22554423, Heading: 74.89000000, Status: 2
Latitude: 39.20929525, Longitude: 117.22554449, Heading: 74.88000000, Status: 2
Latitude: 39.20929532, Longitude: 117.22554472, Heading: 74.88000000, Status: 2
Latitude: 39.20929537, Longitude: 117.22554492, Heading: 74.88000000, Status: 2
Latitude: 39.20929539, Longitude: 117.22554510, Heading: 74.88000000, Status: 2
Latitude: 39.20929542, Longitude: 117.22554523, Heading: 74.88000000, Status: 2
Latitude: 39.20929545, Longitude: 117.22554532, Heading: 74.88000000, Status: 2
Latitude: 39.20929547, Longitude: 117.22554539, Heading: 74.88000000, Status: 2
Latitude: 39.20929548, Longitude: 117.22554541, Heading: 74.88000000, Status: 2
Latitude: 39.20929549, Longitude: 117.22554538, Heading: 74.88000000, Status: 2
Latitude: 39.20929550, Longitude: 117.22554537, Heading: 74.89000000, Status: 2
Latitude: 39.20929551, Longitude: 117.22554537, Heading: 74.89000000, Status: 2
Latitude: 39.20929553, Longitude: 117.22554542, Heading: 74.89000000, Status: 2
Latitude: 39.20929554, Longitude: 117.22554553, Heading: 74.89000000, Status: 2
Latitude: 39.20929556, Longitude: 117.22554567, Heading: 74.89000000, Status: 2
Latitude: 39.20929560, Longitude: 117.22554586, Heading: 74.90000000, Status: 2
Latitude: 39.20929564, Longitude: 117.22554611, Heading: 74.89000000, Status: 2
Latitude: 39.20929570, Longitude: 117.22554640, Heading: 74.89000000, Status: 2
Latitude: 39.20929578, Longitude: 117.22554676, Heading: 74.89000000, Status: 2
Latitude: 39.20929586, Longitude: 117.22554716, Heading: 74.89000000, Status: 2
Latitude: 39.20929595, Longitude: 117.22554763, Heading: 74.90000000, Status: 2
Latitude: 39.20929605, Longitude: 117.22554814, Heading: 74.89000000, Status: 2
Latitude: 39.20929617, Longitude: 117.22554870, Heading: 74.89000000, Status: 2
Latitude: 39.20929629, Longitude: 117.22554933, Heading: 74.90000000, Status: 2
Latitude: 39.20929643, Longitude: 117.22555000, Heading: 74.89000000, Status: 2
Latitude: 39.20929657, Longitude: 117.22555069, Heading: 74.90000000, Status: 2
Latitude: 39.20929672, Longitude: 117.22555140, Heading: 74.90000000, Status: 2
Latitude: 39.20929687, Longitude: 117.22555214, Heading: 74.90000000, Status: 2
Latitude: 39.20929703, Longitude: 117.22555289, Heading: 74.90000000, Status: 2
Latitude: 39.20929719, Longitude: 117.22555366, Heading: 74.89000000, Status: 2
Latitude: 39.20929735, Longitude: 117.22555444, Heading: 74.89000000, Status: 2
Latitude: 39.20929752, Longitude: 117.22555523, Heading: 74.88000000, Status: 2
Latitude: 39.20929768, Longitude: 117.22555602, Heading: 74.88000000, Status: 2
Latitude: 39.20929785, Longitude: 117.22555682, Heading: 74.89000000, Status: 2
Latitude: 39.20929800, Longitude: 117.22555764, Heading: 74.88000000, Status: 2
Latitude: 39.20929817, Longitude: 117.22555844, Heading: 74.88000000, Status: 2
Latitude: 39.20929833, Longitude: 117.22555923, Heading: 74.88000000, Status: 2
Latitude: 39.20929849, Longitude: 117.22556001, Heading: 74.88000000, Status: 2
Latitude: 39.20929866, Longitude: 117.22556078, Heading: 74.88000000, Status: 2
Latitude: 39.20929882, Longitude: 117.22556153, Heading: 74.88000000, Status: 2
Latitude: 39.20929898, Longitude: 117.22556228, Heading: 74.88000000, Status: 2
Latitude: 39.20929914, Longitude: 117.22556300, Heading: 74.88000000, Status: 2
Latitude: 39.20929929, Longitude: 117.22556371, Heading: 74.88000000, Status: 2
Latitude: 39.20929944, Longitude: 117.22556440, Heading: 74.88000000, Status: 2
Latitude: 39.20929957, Longitude: 117.22556511, Heading: 74.89000000, Status: 2
Latitude: 39.20929971, Longitude: 117.22556578, Heading: 74.89000000, Status: 2
