Latitude: 39.20782093, Longitude: 117.22767545, Heading: -160.75000000, Status: 2
Latitude: 39.20782102, Longitude: 117.22767528, Heading: -160.75000000, Status: 2
Latitude: 39.20782109, Longitude: 117.22767516, Heading: -160.75000000, Status: 2
Latitude: 39.20782115, Longitude: 117.22767507, Heading: -160.75000000, Status: 2
Latitude: 39.20782119, Longitude: 117.22767500, Heading: -160.75000000, Status: 2
Latitude: 39.20782132, Longitude: 117.22767477, Heading: -160.75000000, Status: 2
Latitude: 39.20782152, Longitude: 117.22767443, Heading: -160.75000000, Status: 2
Latitude: 39.20782163, Longitude: 117.22767431, Heading: -160.75000000, Status: 2
Latitude: 39.20782169, Longitude: 117.22767425, Heading: -160.75000000, Status: 2
Latitude: 39.20782172, Longitude: 117.22767422, Heading: -160.75000000, Status: 2
Latitude: 39.20782174, Longitude: 117.22767420, Heading: -160.75000000, Status: 2
Latitude: 39.20782175, Longitude: 117.22767419, Heading: -160.75000000, Status: 2
Latitude: 39.20782175, Longitude: 117.22767418, Heading: -160.75000000, Status: 2
Latitude: 39.20782176, Longitude: 117.22767417, Heading: -160.75000000, Status: 2
Latitude: 39.20782177, Longitude: 117.22767417, Heading: -160.75000000, Status: 2
Latitude: 39.20782177, Longitude: 117.22767416, Heading: -160.75000000, Status: 2
Latitude: 39.20782181, Longitude: 117.22767413, Heading: -160.75000000, Status: 2
Latitude: 39.20782168, Longitude: 117.22767280, Heading: -160.75000000, Status: 2
Latitude: 39.20782162, Longitude: 117.22767214, Heading: -160.75000000, Status: 2
Latitude: 39.20782158, Longitude: 117.22767181, Heading: -160.75000000, Status: 2
Latitude: 39.20782157, Longitude: 117.22767162, Heading: -160.75000000, Status: 2
Latitude: 39.20782155, Longitude: 117.22767148, Heading: -160.75000000, Status: 2
Latitude: 39.20782155, Longitude: 117.22767139, Heading: -160.75000000, Status: 2
Latitude: 39.20782154, Longitude: 117.22767132, Heading: -160.75000000, Status: 2
Latitude: 39.20782153, Longitude: 117.22767126, Heading: -160.75000000, Status: 2
Latitude: 39.20782150, Longitude: 117.22767091, Heading: -160.75000000, Status: 2
Latitude: 39.20782149, Longitude: 117.22767083, Heading: -160.75000000, Status: 2
Latitude: 39.20782238, Longitude: 117.22767067, Heading: -160.75000000, Status: 2
Latitude: 39.20782286, Longitude: 117.22767058, Heading: -160.75000000, Status: 2
Latitude: 39.20782311, Longitude: 117.22767053, Heading: -160.75000000, Status: 2
Latitude: 39.20782326, Longitude: 117.22767051, Heading: -160.75000000, Status: 2
Latitude: 39.20782336, Longitude: 117.22767049, Heading: -160.75000000, Status: 2
Latitude: 39.20782343, Longitude: 117.22767047, Heading: -160.75000000, Status: 2
Latitude: 39.20782348, Longitude: 117.22767047, Heading: -160.75000000, Status: 2
Latitude: 39.20782353, Longitude: 117.22767046, Heading: -160.75000000, Status: 2
Latitude: 39.20782372, Longitude: 117.22767043, Heading: -160.75000000, Status: 2
Latitude: 39.20782387, Longitude: 117.22767040, Heading: -160.75000000, Status: 2
Latitude: 39.20782422, Longitude: 117.22767078, Heading: -160.75000000, Status: 2
Latitude: 39.20782439, Longitude: 117.22767095, Heading: -160.75000000, Status: 2
Latitude: 39.20782447, Longitude: 117.22767104, Heading: -160.75000000, Status: 2
Latitude: 39.20782452, Longitude: 117.22767110, Heading: -160.75000000, Status: 2
Latitude: 39.20782455, Longitude: 117.22767113, Heading: -160.75000000, Status: 2
Latitude: 39.20782458, Longitude: 117.22767116, Heading: -160.75000000, Status: 2
Latitude: 39.20782460, Longitude: 117.22767118, Heading: -160.75000000, Status: 2
Latitude: 39.20782461, Longitude: 117.22767119, Heading: -160.74000000, Status: 2
Latitude: 39.20782465, Longitude: 117.22767123, Heading: -160.74000000, Status: 2
Latitude: 39.20782472, Longitude: 117.22767132, Heading: -160.74000000, Status: 2
Latitude: 39.20782657, Longitude: 117.22767161, Heading: -160.74000000, Status: 2
Latitude: 39.20782746, Longitude: 117.22767174, Heading: -160.74000000, Status: 2
Latitude: 39.20782791, Longitude: 117.22767181, Heading: -160.74000000, Status: 2
Latitude: 39.20782818, Longitude: 117.22767186, Heading: -160.74000000, Status: 2
Latitude: 39.20782836, Longitude: 117.22767188, Heading: -160.74000000, Status: 2
Latitude: 39.20782849, Longitude: 117.22767190, Heading: -160.74000000, Status: 2
Latitude: 39.20782859, Longitude: 117.22767192, Heading: -160.74000000, Status: 2
Latitude: 39.20782867, Longitude: 117.22767193, Heading: -160.74000000, Status: 2
Latitude: 39.20782925, Longitude: 117.22767203, Heading: -160.74000000, Status: 2
Latitude: 39.20782927, Longitude: 117.22767203, Heading: -160.74000000, Status: 2
Latitude: 39.20782981, Longitude: 117.22767198, Heading: -160.74000000, Status: 2
Latitude: 39.20783010, Longitude: 117.22767196, Heading: -160.74000000, Status: 2
Latitude: 39.20783025, Longitude: 117.22767195, Heading: -160.74000000, Status: 2
Latitude: 39.20783033, Longitude: 117.22767194, Heading: -160.74000000, Status: 2
Latitude: 39.20783040, Longitude: 117.22767193, Heading: -160.74000000, Status: 2
Latitude: 39.20783044, Longitude: 117.22767193, Heading: -160.74000000, Status: 2
Latitude: 39.20783047, Longitude: 117.22767193, Heading: -160.74000000, Status: 2
Latitude: 39.20783050, Longitude: 117.22767192, Heading: -160.74000000, Status: 2
Latitude: 39.20783064, Longitude: 117.22767192, Heading: -160.74000000, Status: 2
