Latitude: 39.20740744, Longitude: 117.22623252, Heading: 75.21000000, Status: 2
Latitude: 39.20740759, Longitude: 117.22623320, Heading: 75.21000000, Status: 2
Latitude: 39.20740773, Longitude: 117.22623386, Heading: 75.20000000, Status: 2
Latitude: 39.20740786, Longitude: 117.22623451, Heading: 75.20000000, Status: 2
Latitude: 39.20740799, Longitude: 117.22623515, Heading: 75.20000000, Status: 2
Latitude: 39.20740812, Longitude: 117.22623576, Heading: 75.19000000, Status: 2
Latitude: 39.20740825, Longitude: 117.22623636, Heading: 75.19000000, Status: 2
Latitude: 39.20740837, Longitude: 117.22623695, Heading: 75.19000000, Status: 2
Latitude: 39.20740849, Longitude: 117.22623752, Heading: 75.18000000, Status: 2
Latitude: 39.20740860, Longitude: 117.22623807, Heading: 75.18000000, Status: 2
Latitude: 39.20740872, Longitude: 117.22623860, Heading: 75.18000000, Status: 2
Latitude: 39.20740884, Longitude: 117.22623912, Heading: 75.18000000, Status: 2
Latitude: 39.20740896, Longitude: 117.22623964, Heading: 75.18000000, Status: 2
Latitude: 39.20740908, Longitude: 117.22624017, Heading: 75.17000000, Status: 2
Latitude: 39.20740920, Longitude: 117.22624072, Heading: 75.18000000, Status: 2
Latitude: 39.20740932, Longitude: 117.22624128, Heading: 75.17000000, Status: 2
Latitude: 39.20740945, Longitude: 117.22624186, Heading: 75.17000000, Status: 2
Latitude: 39.20740958, Longitude: 117.22624247, Heading: 75.17000000, Status: 2
Latitude: 39.20740972, Longitude: 117.22624309, Heading: 75.17000000, Status: 2
Latitude: 39.20740986, Longitude: 117.22624374, Heading: 75.17000000, Status: 2
Latitude: 39.20741000, Longitude: 117.22624439, Heading: 75.16000000, Status: 2
Latitude: 39.20741016, Longitude: 117.22624507, Heading: 75.16000000, Status: 2
Latitude: 39.20741031, Longitude: 117.22624576, Heading: 75.17000000, Status: 2
Latitude: 39.20741046, Longitude: 117.22624646, Heading: 75.16000000, Status: 2
Latitude: 39.20741062, Longitude: 117.22624717, Heading: 75.16000000, Status: 2
Latitude: 39.20741077, Longitude: 117.22624787, Heading: 75.17000000, Status: 2
Latitude: 39.20741093, Longitude: 117.22624859, Heading: 75.16000000, Status: 2
Latitude: 39.20741109, Longitude: 117.22624930, Heading: 75.16000000, Status: 2
Latitude: 39.20741124, Longitude: 117.22625001, Heading: 75.15000000, Status: 2
Latitude: 39.20741141, Longitude: 117.22625070, Heading: 75.15000000, Status: 2
Latitude: 39.20741156, Longitude: 117.22625138, Heading: 75.12000000, Status: 2
Latitude: 39.20741172, Longitude: 117.22625206, Heading: 75.15000000, Status: 2
Latitude: 39.20741186, Longitude: 117.22625275, Heading: 75.13000000, Status: 2
Latitude: 39.20741202, Longitude: 117.22625344, Heading: 75.13000000, Status: 2
Latitude: 39.20741217, Longitude: 117.22625412, Heading: 75.15000000, Status: 2
Latitude: 39.20741231, Longitude: 117.22625479, Heading: 75.14000000, Status: 2
Latitude: 39.20741245, Longitude: 117.22625544, Heading: 75.16000000, Status: 2
Latitude: 39.20741259, Longitude: 117.22625607, Heading: 75.15000000, Status: 2
Latitude: 39.20741273, Longitude: 117.22625670, Heading: 75.14000000, Status: 2
Latitude: 39.20741287, Longitude: 117.22625731, Heading: 75.15000000, Status: 2
Latitude: 39.20741299, Longitude: 117.22625790, Heading: 75.14000000, Status: 2
Latitude: 39.20741313, Longitude: 117.22625849, Heading: 75.15000000, Status: 2
Latitude: 39.20741325, Longitude: 117.22625906, Heading: 75.16000000, Status: 2
Latitude: 39.20741336, Longitude: 117.22625960, Heading: 75.16000000, Status: 2
Latitude: 39.20741347, Longitude: 117.22626013, Heading: 75.16000000, Status: 2
Latitude: 39.20741358, Longitude: 117.22626064, Heading: 75.16000000, Status: 2
Latitude: 39.20741369, Longitude: 117.22626113, Heading: 75.17000000, Status: 2
Latitude: 39.20741380, Longitude: 117.22626162, Heading: 75.17000000, Status: 2
Latitude: 39.20741390, Longitude: 117.22626210, Heading: 75.16000000, Status: 2
Latitude: 39.20741400, Longitude: 117.22626257, Heading: 75.15000000, Status: 2
Latitude: 39.20741410, Longitude: 117.22626304, Heading: 75.15000000, Status: 2
Latitude: 39.20741420, Longitude: 117.22626350, Heading: 75.14000000, Status: 2
Latitude: 39.20741430, Longitude: 117.22626397, Heading: 75.14000000, Status: 2
Latitude: 39.20741440, Longitude: 117.22626446, Heading: 75.14000000, Status: 2
Latitude: 39.20741451, Longitude: 117.22626496, Heading: 75.13000000, Status: 2
Latitude: 39.20741461, Longitude: 117.22626548, Heading: 75.14000000, Status: 2
Latitude: 39.20741471, Longitude: 117.22626602, Heading: 75.13000000, Status: 2
Latitude: 39.20741483, Longitude: 117.22626658, Heading: 75.12000000, Status: 2
Latitude: 39.20741494, Longitude: 117.22626715, Heading: 75.13000000, Status: 2
Latitude: 39.20741506, Longitude: 117.22626774, Heading: 75.12000000, Status: 2
Latitude: 39.20741518, Longitude: 117.22626835, Heading: 75.12000000, Status: 2
Latitude: 39.20741532, Longitude: 117.22626897, Heading: 75.13000000, Status: 2
Latitude: 39.20741545, Longitude: 117.22626961, Heading: 75.12000000, Status: 2
Latitude: 39.20741558, Longitude: 117.22627025, Heading: 75.12000000, Status: 2
Latitude: 39.20741571, Longitude: 117.22627089, Heading: 75.13000000, Status: 2
Latitude: 39.20741584, Longitude: 117.22627154, Heading: 75.14000000, Status: 2
Latitude: 39.20741598, Longitude: 117.22627219, Heading: 75.16000000, Status: 2
Latitude: 39.20741612, Longitude: 117.22627282, Heading: 75.19000000, Status: 2
Latitude: 39.20741624, Longitude: 117.22627345, Heading: 75.17000000, Status: 2
Latitude: 39.20741637, Longitude: 117.22627407, Heading: 75.17000000, Status: 2
Latitude: 39.20741649, Longitude: 117.22627471, Heading: 75.18000000, Status: 2
Latitude: 39.20741663, Longitude: 117.22627535, Heading: 75.15000000, Status: 2
Latitude: 39.20741678, Longitude: 117.22627599, Heading: 75.17000000, Status: 2
Latitude: 39.20741692, Longitude: 117.22627664, Heading: 75.16000000, Status: 2
Latitude: 39.20741705, Longitude: 117.22627728, Heading: 75.14000000, Status: 2
Latitude: 39.20741719, Longitude: 117.22627790, Heading: 75.15000000, Status: 2
Latitude: 39.20741733, Longitude: 117.22627851, Heading: 75.14000000, Status: 2
Latitude: 39.20741746, Longitude: 117.22627911, Heading: 75.15000000, Status: 2
Latitude: 39.20741759, Longitude: 117.22627971, Heading: 75.14000000, Status: 2
Latitude: 39.20741771, Longitude: 117.22628029, Heading: 75.14000000, Status: 2
Latitude: 39.20741784, Longitude: 117.22628085, Heading: 75.14000000, Status: 2
Latitude: 39.20741795, Longitude: 117.22628141, Heading: 75.13000000, Status: 2
Latitude: 39.20741807, Longitude: 117.22628195, Heading: 75.13000000, Status: 2
Latitude: 39.20741818, Longitude: 117.22628249, Heading: 75.13000000, Status: 2
Latitude: 39.20741830, Longitude: 117.22628301, Heading: 75.12000000, Status: 2
Latitude: 39.20741841, Longitude: 117.22628352, Heading: 75.12000000, Status: 2
Latitude: 39.20741852, Longitude: 117.22628402, Heading: 75.13000000, Status: 2
Latitude: 39.20741863, Longitude: 117.22628452, Heading: 75.13000000, Status: 2
Latitude: 39.20741874, Longitude: 117.22628500, Heading: 75.14000000, Status: 2
Latitude: 39.20741885, Longitude: 117.22628548, Heading: 75.14000000, Status: 2
Latitude: 39.20741895, Longitude: 117.22628595, Heading: 75.14000000, Status: 2
Latitude: 39.20741904, Longitude: 117.22628644, Heading: 75.14000000, Status: 2
Latitude: 39.20741914, Longitude: 117.22628692, Heading: 75.14000000, Status: 2
Latitude: 39.20741924, Longitude: 117.22628741, Heading: 75.15000000, Status: 2
Latitude: 39.20741935, Longitude: 117.22628791, Heading: 75.15000000, Status: 2
Latitude: 39.20741946, Longitude: 117.22628841, Heading: 75.15000000, Status: 2
Latitude: 39.20741957, Longitude: 117.22628893, Heading: 75.16000000, Status: 2
Latitude: 39.20741969, Longitude: 117.22628946, Heading: 75.16000000, Status: 2
Latitude: 39.20741980, Longitude: 117.22629001, Heading: 75.16000000, Status: 2
Latitude: 39.20741992, Longitude: 117.22629057, Heading: 75.16000000, Status: 2
Latitude: 39.20742005, Longitude: 117.22629115, Heading: 75.17000000, Status: 2
Latitude: 39.20742016, Longitude: 117.22629175, Heading: 75.17000000, Status: 2
Latitude: 39.20742029, Longitude: 117.22629235, Heading: 75.16000000, Status: 2
Latitude: 39.20742042, Longitude: 117.22629297, Heading: 75.17000000, Status: 2
Latitude: 39.20742055, Longitude: 117.22629360, Heading: 75.16000000, Status: 2
Latitude: 39.20742068, Longitude: 117.22629424, Heading: 75.17000000, Status: 2
Latitude: 39.20742082, Longitude: 117.22629489, Heading: 75.17000000, Status: 2
Latitude: 39.20742096, Longitude: 117.22629555, Heading: 75.17000000, Status: 2
Latitude: 39.20742110, Longitude: 117.22629621, Heading: 75.17000000, Status: 2
Latitude: 39.20742124, Longitude: 117.22629688, Heading: 75.17000000, Status: 2
Latitude: 39.20742138, Longitude: 117.22629754, Heading: 75.17000000, Status: 2
Latitude: 39.20742150, Longitude: 117.22629819, Heading: 75.17000000, Status: 2
Latitude: 39.20742163, Longitude: 117.22629883, Heading: 75.17000000, Status: 2
Latitude: 39.20742175, Longitude: 117.22629944, Heading: 75.18000000, Status: 2
Latitude: 39.20742188, Longitude: 117.22630003, Heading: 75.17000000, Status: 2
Latitude: 39.20742199, Longitude: 117.22630058, Heading: 75.16000000, Status: 2
Latitude: 39.20742209, Longitude: 117.22630109, Heading: 75.16000000, Status: 2
Latitude: 39.20742219, Longitude: 117.22630158, Heading: 75.16000000, Status: 2
Latitude: 39.20742229, Longitude: 117.22630203, Heading: 75.15000000, Status: 2
Latitude: 39.20742238, Longitude: 117.22630246, Heading: 75.15000000, Status: 2
Latitude: 39.20742246, Longitude: 117.22630287, Heading: 75.14000000, Status: 2
Latitude: 39.20742253, Longitude: 117.22630326, Heading: 75.14000000, Status: 2
Latitude: 39.20742261, Longitude: 117.22630363, Heading: 75.14000000, Status: 2
Latitude: 39.20742268, Longitude: 117.22630396, Heading: 75.14000000, Status: 2
Latitude: 39.20742275, Longitude: 117.22630428, Heading: 75.14000000, Status: 2
Latitude: 39.20742281, Longitude: 117.22630458, Heading: 75.13000000, Status: 2
Latitude: 39.20742286, Longitude: 117.22630486, Heading: 75.13000000, Status: 2
Latitude: 39.20742292, Longitude: 117.22630513, Heading: 75.13000000, Status: 2
Latitude: 39.20742297, Longitude: 117.22630540, Heading: 75.13000000, Status: 2
Latitude: 39.20742302, Longitude: 117.22630566, Heading: 75.12000000, Status: 2
Latitude: 39.20742308, Longitude: 117.22630596, Heading: 75.12000000, Status: 2
Latitude: 39.20742315, Longitude: 117.22630630, Heading: 75.12000000, Status: 2
Latitude: 39.20742323, Longitude: 117.22630668, Heading: 75.12000000, Status: 2
Latitude: 39.20742331, Longitude: 117.22630708, Heading: 75.12000000, Status: 2
Latitude: 39.20742340, Longitude: 117.22630752, Heading: 75.12000000, Status: 2
Latitude: 39.20742350, Longitude: 117.22630800, Heading: 75.12000000, Status: 2
Latitude: 39.20742360, Longitude: 117.22630851, Heading: 75.11000000, Status: 2
Latitude: 39.20742372, Longitude: 117.22630905, Heading: 75.12000000, Status: 2
Latitude: 39.20742384, Longitude: 117.22630962, Heading: 75.12000000, Status: 2
Latitude: 39.20742396, Longitude: 117.22631023, Heading: 75.11000000, Status: 2
Latitude: 39.20742409, Longitude: 117.22631085, Heading: 75.12000000, Status: 2
Latitude: 39.20742421, Longitude: 117.22631151, Heading: 75.11000000, Status: 2
Latitude: 39.20742435, Longitude: 117.22631219, Heading: 75.12000000, Status: 2
Latitude: 39.20742450, Longitude: 117.22631289, Heading: 75.12000000, Status: 2
Latitude: 39.20742464, Longitude: 117.22631360, Heading: 75.12000000, Status: 2
Latitude: 39.20742479, Longitude: 117.22631432, Heading: 75.12000000, Status: 2
Latitude: 39.20742494, Longitude: 117.22631505, Heading: 75.12000000, Status: 2
Latitude: 39.20742509, Longitude: 117.22631578, Heading: 75.11000000, Status: 2
Latitude: 39.20742525, Longitude: 117.22631652, Heading: 75.11000000, Status: 2
Latitude: 39.20742540, Longitude: 117.22631726, Heading: 75.11000000, Status: 2
Latitude: 39.20742556, Longitude: 117.22631799, Heading: 75.11000000, Status: 2
Latitude: 39.20742571, Longitude: 117.22631871, Heading: 75.12000000, Status: 2
Latitude: 39.20742586, Longitude: 117.22631942, Heading: 75.12000000, Status: 2
Latitude: 39.20742600, Longitude: 117.22632011, Heading: 75.11000000, Status: 2
Latitude: 39.20742614, Longitude: 117.22632079, Heading: 75.11000000, Status: 2
Latitude: 39.20742628, Longitude: 117.22632145, Heading: 75.11000000, Status: 2
Latitude: 39.20742640, Longitude: 117.22632207, Heading: 75.10000000, Status: 2
