Timestamp,Latitude,Longitude,Heading,Speed,TargetLat,TargetLon,MPCSteer,PurePursuitSteer,SelectedSteer
0,39.2078,117.228,0,10,39.2078,117.228,26.929,-56.0837,26.929
0.1,39.2078,117.228,8.98281,10,39.2078,117.228,26.929,-41.6273,26.929
0.2,39.2078,117.228,17.9656,10,39.2078,117.228,26.929,-15.1327,26.929
0.3,39.2078,117.228,26.9484,10,39.2078,117.228,26.929,13.6389,26.929
0.4,39.2078,117.228,35.9312,10,39.2078,117.228,26.929,32.7725,26.929
0.5,39.2078,117.228,44.914,10,39.2078,117.228,26.929,-33.9123,26.929
0.6,39.2078,117.228,53.8969,10,39.2078,117.228,26.929,-20.8399,26.929
0.7,39.2078,117.228,62.8797,10,39.2078,117.228,26.929,-6.15217,26.929
0.8,39.2078,117.228,71.8625,10,39.2078,117.228,20.3731,8.35541,20.3731
0.9,39.2078,117.228,78.4296,10,39.2078,117.228,12.7758,16.61,12.7758
1,39.2078,117.228,82.4394,10,39.2078,117.228,7.40875,19.4323,7.40875
1.1,39.2078,117.228,84.7389,10,39.2078,117.228,3.47107,19.2256,3.47107
1.2,39.2078,117.228,85.8115,10,39.2078,117.228,0.575377,17.0449,0.575377
1.3,39.2078,117.228,85.9891,10,39.2078,117.228,-1.51454,13.4619,-1.51454
1.4,39.2078,117.228,85.5216,10,39.2078,117.228,-2.97025,8.8929,-2.97025
1.5,39.2078,117.228,84.604,10,39.2078,117.228,-3.93016,3.71784,-3.93016
1.6,39.2078,117.228,83.3891,10,39.2078,117.228,-4.51024,-1.69921,-4.51024
1.7,39.2078,117.228,81.9941,10,39.2078,117.228,-4.80723,-7.03841,-4.80723
1.8,39.2078,117.228,80.5069,10,39.2078,117.228,-4.89996,-12.0593,-4.89996
1.9,39.2078,117.228,78.9909,10,39.2078,117.228,-4.85078,-16.6161,-4.85078
2,39.2078,117.228,77.4902,10,39.2078,117.228,-4.70756,-20.6479,-4.70756
2.1,39.2078,117.228,76.0339,10,39.2078,117.228,-4.50603,-24.1555,-4.50603
2.2,39.2078,117.228,74.6403,10,39.2078,117.228,-4.27218,-27.176,-4.27218
2.3,39.2078,117.228,73.3193,10,39.2078,117.228,-4.02435,-29.7634,-4.02435
2.4,39.2078,117.228,72.0752,10,39.2078,117.228,-3.77518,-31.976,-3.77518
2.5,39.2078,117.228,70.9083,10,39.2078,117.228,-3.53303,-33.8698,-3.53303
2.6,39.2078,117.228,69.8165,10,39.2078,117.228,-3.30317,-35.4947,-3.30317
2.7,39.2078,117.228,68.7958,10,39.2078,117.228,-3.0887,-36.8939,-3.0887
2.8,39.2078,117.228,67.8416,10,39.2078,117.228,-2.8912,-38.1042,-2.8912
2.9,39.2078,117.228,66.9485,10,39.2078,117.228,-2.71118,-39.1563,-2.71118
3,39.2078,117.228,66.1111,10,39.2078,117.228,-2.5485,38.4083,-2.5485
3.1,39.2078,117.228,65.324,10,39.2078,117.228,-2.40254,37.5199,-2.40254
3.2,39.2078,117.228,64.5821,10,39.2078,117.228,-2.27245,36.6851,-2.27245
3.3,39.2078,117.228,63.8803,10,39.2078,117.228,-2.15725,35.9,-2.15725
3.4,39.2078,117.228,63.2142,10,39.2078,117.228,-2.05585,35.1608,-2.05585
3.5,39.2078,117.228,62.5794,10,39.2078,117.228,-1.96723,34.4631,-1.96723
3.6,39.2078,117.228,61.972,10,39.2078,117.228,-1.89036,33.8026,-1.89036
3.7,39.2078,117.228,61.3883,10,39.2078,117.228,-1.82429,33.1752,-1.82429
3.8,39.2078,117.228,60.8251,10,39.2078,117.228,-1.76814,32.5767,-1.76814
3.9,39.2078,117.228,60.2792,10,39.2078,117.228,-1.72111,32.0031,-1.72111
4,39.2078,117.228,59.7478,10,39.2078,117.228,-1.68249,31.4507,-1.68249
4.1,39.2078,117.228,59.2284,10,39.2078,117.228,-1.65165,30.9159,-1.65165
4.2,39.2078,117.228,58.7185,10,39.2078,117.228,-1.62803,30.3951,-1.62803
4.3,39.2078,117.228,58.2159,10,39.2078,117.228,-1.61119,29.885,-1.61119
4.4,39.2078,117.228,57.7184,10,39.2078,117.228,-1.60075,29.3826,-1.60075
4.5,39.2078,117.228,57.2243,10,39.2078,117.228,-1.59642,28.8847,-1.59642
4.6,39.2078,117.228,56.7314,10,39.2078,117.228,-1.59796,28.3883,-1.59796
4.7,39.2078,117.228,56.2381,10,39.2078,117.228,-1.60527,27.8906,-1.60527
4.8,39.2078,117.228,55.7425,10,39.2078,117.228,-1.61831,27.3885,-1.61831
4.9,39.2078,117.228,55.2429,10,39.2078,117.228,-1.63713,26.8791,-1.63713
5,39.2078,117.228,54.7375,10,39.2078,117.228,-1.66191,26.3594,-1.66191
5.1,39.2078,117.228,54.2244,10,39.2078,117.228,-1.69291,25.8261,-1.69291
5.2,39.2078,117.228,53.7017,10,39.2078,117.228,-1.73056,25.2759,-1.73056
5.3,39.2078,117.228,53.1674,10,39.2078,117.228,-1.77548,24.705,-1.77548
